"Study","UniProt","Gene.Name","Description","SomaID","SomaScan.SeqID","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Dammer et al.","P09237","MMP7","Matrilysin","SL000525","MMP7.2789.26",NA,0.881519785805645,35,2.72407391388496e-12,NA,"Strong correlation","Pearson","OID20087",0.707509881422925,22,0.000337407039963649,0.000544967879998512,"Strong correlation","Spearman"
"Dammer et al.","P04070","PROC","Vitamin K-dependent protein C","SL003974","PROC.3758.63",NA,0.785957275589344,35,2.21687555920674e-08,NA,"Strong correlation","Pearson","OID20402",0.649695325983586,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q9Y240","CLEC11A","C-type lectin domain family 11 member A","SL004362","CLEC11A.2966.65",NA,0.875570161352396,35,5.83920525397638e-12,NA,"Strong correlation","Pearson","OID21112",0.141172119564432,88,0.189534392791792,0.227642903682908,"No correlation","Spearman"
"Dammer et al.","P20333","TNFRSF1B","Tumor necrosis factor receptor superfamily member 1B","SL001800","TNFRSF1B.8368.102",NA,0.915326649818514,35,1.38125584241256e-14,NA,"Strong correlation","Pearson","OID21145",0.916666666666667,9,0.00131172839506173,0.00201488620139414,"Strong correlation","Spearman"
"Dammer et al.","O14786","NRP1","Neuropilin-1","SL006397","NRP1.5542.22",NA,0.796045274900323,35,1.08413643868492e-08,NA,"Strong correlation","Pearson","OID20390",0.776141877226009,88,6.55630766004925e-19,1.96341415071501e-18,"Strong correlation","Spearman"
"Dammer et al.","P15289","ARSA","Arylsulfatase A","SL005392","ARSA.3583.54",NA,0.759976367425209,35,1.18844455382483e-07,NA,"Strong correlation","Pearson","OID21138",0.34984520123839,18,0.15495006143369,0.189532632024524,"Weak correlation","Spearman"
"Dammer et al.","P48740","MASP1","Mannan-binding lectin serine protease 1","SL011049","MASP1.3605.77",NA,0.609322199038522,35,0.000102361212438108,NA,"Moderate correlation","Pearson","OID20954",0.0373095228664233,88,0.73001150193464,0.766681847148101,"No correlation","Spearman"
"Dammer et al.","P42892","ECE1","Endothelin-converting enzyme 1","SL004060","ECE1.8767.44",NA,0.584378408822727,34,0.000284583715057731,NA,"Moderate correlation","Pearson","OID20891",0.22015037593985,76,0.0561802546905828,0.0726546478186345,"No correlation","Spearman"
"Dammer et al.","Q99538","LGMN","Legumain","SL008909","LGMN.3622.33",NA,0.814686013302981,35,2.58837063627917e-09,NA,"Strong correlation","Pearson","OID20773",0.538463740755717,68,2.17556807058724e-06,4.17723869335543e-06,"Moderate correlation","Spearman"
"Dammer et al.","Q9UIB8","CD84","SLAM family member 5","SL008588","CD84.3642.4",NA,0.826413804147977,35,9.66032636302837e-10,NA,"Strong correlation","Pearson","OID20607",0.238579127188194,88,0.0254102909831045,0.0342341509784308,"No correlation","Spearman"
"Dammer et al.","P25786","PSMA1","Proteasome subunit alpha type-1","SL010973","PSMA1.7880.9",NA,-0.0151426013081448,35,0.93119918089468,NA,"No correlation","Pearson","OID21221",-0.162216899721743,88,0.130890384611471,0.162212123190286,"No correlation","Spearman"
"Dammer et al.","Q9HCB6","SPON1","Spondin-1","SL005115","SPON1.4297.62",NA,0.807070428463454,35,4.73404534182051e-09,NA,"Strong correlation","Pearson","OID20759",0.613454146804873,88,2.09407107075109e-10,5.4474798130829e-10,"Moderate correlation","Spearman"
"Dammer et al.","Q07654","TFF3","Trefoil factor 3","SL006119","TFF3.4721.54",NA,0.932770197327407,35,3.50370689598131e-16,NA,"Strong correlation","Pearson","OID20371",0.6866436546793,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","O75144","ICOSLG","ICOS ligand","SL004853","ICOSLG.9303.9",NA,0.210578409906964,35,0.224661219227053,NA,"No correlation","Pearson","OID21351",0.551195801486387,88,4.57287913642314e-08,1.00443201265014e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q14956","GPNMB","Transmembrane glycoprotein NMB","SL007429","GPNMB.8240.207",NA,0.728243960082758,34,1.05087643914032e-06,NA,"Strong correlation","Pearson","OID20173",0.519337113874115,88,3.3363762626012e-07,6.81151681822199e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q8N423","LILRB2","Leukocyte immunoglobulin-like receptor subfamily B member 2","SL005191","LILRB2.5633.65",NA,0.604082404894817,35,0.000121760670176877,NA,"Moderate correlation","Pearson","OID20301",0.763296850998464,63,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UMF0","ICAM5","Intercellular adhesion molecule 5","SL005169","ICAM5.5124.69",NA,0.845239075069583,35,1.68601175728493e-10,NA,"Strong correlation","Pearson","OID20145",0.660483870967742,31,7.85644759093132e-05,0.000133784756111033,"Moderate correlation","Spearman"
"Dammer et al.","Q8NBP7","PCSK9","Proprotein convertase subtilisin/kexin type 9","SL012707","PCSK9.8246.9",NA,0.884008510123259,35,1.95626692086034e-12,NA,"Strong correlation","Pearson","OID20235",0.703583033233516,88,2.09733232315945e-14,5.83223692819464e-14,"Strong correlation","Spearman"
"Dammer et al.","P16870","CPE","Carboxypeptidase E","SL008703","CPE.5343.74",NA,-0.0748923269990824,35,0.66895745112861,NA,"No correlation","Pearson","OID21392",-0.192307692307692,13,0.529184736920623,0.580148845263649,"No correlation","Spearman"
"Dammer et al.","P14174","MIF","Macrophage migration inhibitory factor","SL003080","MIF.5356.2",NA,0.8946006191197,35,4.37107119422826e-13,NA,"Strong correlation","Pearson","OID21073",0.856732767426297,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q99983","OMD","Osteomodulin","SL008574","OMD.5358.3",NA,0.946704514096545,35,8.42551006067857e-18,NA,"Strong correlation","Pearson","OID20725",0.856380543129865,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P25445","FAS","Tumor necrosis factor receptor superfamily member 6","SL002731","FAS.9459.7",NA,0.877984995810936,35,4.30553329780551e-12,NA,"Strong correlation","Pearson","OID20316",0.431601216610884,80,6.40884993312597e-05,0.000109796533755679,"Weak correlation","Spearman"
"Dammer et al.","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21","SL004871","TNFRSF21.9259.35",NA,0.828627298279401,35,7.95494929097329e-10,NA,"Strong correlation","Pearson","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Dammer et al.","P78324","SIRPA","Tyrosine-protein phosphatase non-receptor type substrate 1","SL008967","SIRPA.5430.66",NA,0.694530766190429,35,3.68563167015357e-06,NA,"Moderate correlation","Pearson","OID20304",0.380723443223443,64,0.00204709261358049,0.00306520896648856,"Weak correlation","Spearman"
"Dammer et al.","Q96KN2","CNDP1","Beta-Ala-His dipeptidase","SL006694","CNDP1.5456.59",NA,0.885569559821551,35,1.58327241421378e-12,NA,"Strong correlation","Pearson","OID20347",0.878183227079004,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q5KU26","COLEC12","Collectin-12","SL007471","COLEC12.5457.5",NA,0.166279601211056,35,0.339746859059936,NA,"No correlation","Pearson","OID20738",0.784722617354196,75,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9NQ25","SLAMF7","SLAM family member 7","SL016928","SLAMF7.5487.7",NA,0.778793409534885,35,3.60150091746687e-08,NA,"Strong correlation","Pearson","OID20602",0.473344947735192,41,0.00198567442960129,0.00298512174569887,"Weak correlation","Spearman"
"Dammer et al.","P80370","DLK1","Protein delta homolog 1","SL000679","DLK1.6373.54",NA,0.961215535535033,35,4.95539481848232e-20,NA,"Strong correlation","Pearson","OID20295",0.77298951048951,65,0,0,"Strong correlation","Spearman"
"Dammer et al.","P02786","TFRC","Transferrin receptor protein 1","SL000600","TFRC.8795.48",NA,0.820338974185567,35,1.62388773482718e-09,NA,"Strong correlation","Pearson","OID20369",0.611126765524286,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P04233","CD74","HLA class II histocompatibility antigen gamma chain","SL007076","CD74.6974.6",NA,0.351455837425224,35,0.0384247478020555,NA,"Weak correlation","Pearson","OID21040",0.560942823220612,75,1.65459240211162e-07,3.45932374441486e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q8IYS5","OSCAR","Osteoclast-associated immunoglobulin-like receptor","SL012677","OSCAR.8702.42",NA,0.515133071742062,35,0.00154227702511469,NA,"Moderate correlation","Pearson","OID20776",0.645926526011764,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P14384","CPM","Carboxypeptidase M","SL008646","CPM.9416.77",NA,0.854566989885822,35,6.50300045054445e-11,NA,"Strong correlation","Pearson","OID21054",0.722852312352506,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","A6NI73","LILRA5","Leukocyte immunoglobulin-like receptor subfamily A member 5","SL018231","LILRA5.7787.25",NA,0.944532538727535,35,1.60240079327352e-17,NA,"Strong correlation","Pearson","OID20209",0.737334244702666,76,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q5VY43","PEAR1","Platelet endothelial aggregation receptor 1","SL018435","PEAR1.8275.31",NA,0.769192989980224,35,6.71518473758143e-08,NA,"Strong correlation","Pearson","OID20257",0.0793385227713008,88,0.461756919022855,0.51367337164751,"No correlation","Spearman"
"Dammer et al.","Q9UBX1","CTSF","Cathepsin F","SL008381","CTSF.9212.22",NA,0.880647775719885,35,3.05382179373574e-12,NA,"Strong correlation","Pearson","OID21500",0.785935683843472,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P09668","CTSH","Pro-cathepsin H","SL000346","CTSH.8644.46",NA,0.958122322342961,35,1.7176726445705e-19,NA,"Strong correlation","Pearson","OID20113",0.529058504455637,88,1.86281271303481e-07,3.88028699818506e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q96GP6","SCARF2","Scavenger receptor class F member 2","SL005222","SCARF2.8956.96",NA,0.851579886745151,35,8.88506557569866e-11,NA,"Strong correlation","Pearson","OID21048",0.498989898989899,54,0.000150220397563947,0.000251257524221771,"Weak correlation","Spearman"
"Dammer et al.","P47929","LGALS7B","Galectin-7","SL005166","LGALS7.9196.8",NA,0.258529103289095,35,0.133728807667036,NA,"No correlation","Pearson","OID21406",0.190196078431373,35,0.272644309711199,0.317662977981366,"No correlation","Spearman"
"Dammer et al.","P16234","PDGFRA","Platelet-derived growth factor receptor alpha",NA,NA,NA,-0.146440226173453,35,0.40122945513732,NA,"No correlation","Pearson","OID20133",0.0274193548387097,31,0.883719397181716,0.905371324335896,"No correlation","Spearman"
"Dammer et al.","Q6ZMJ2","SCARA5","Scavenger receptor class A member 5",NA,NA,NA,0.472328587212569,35,0.00417106611032564,NA,"Weak correlation","Pearson","OID21058",0.317988094818781,88,0.00264666747320857,0.0039265276967838,"Weak correlation","Spearman"
"Dammer et al.","Q9NQX5","NPDC1","Neural proliferation differentiation and control protein 1",NA,NA,NA,0.51625731532636,35,0.00149985395056923,NA,"Moderate correlation","Pearson","OID20205",0.678195488721804,20,0.00136819362062396,0.00209307669062934,"Moderate correlation","Spearman"
"Dammer et al.","P15509","CSF2RA","Granulocyte-macrophage colony-stimulating factor receptor subunit alpha",NA,NA,NA,0.800562738057478,35,7.76836186243587e-09,NA,"Strong correlation","Pearson","OID20915",0.689892632358386,74,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q8TCZ2","CD99L2","CD99 antigen-like protein 2",NA,NA,NA,0.64540276225673,35,2.83597237745768e-05,NA,"Moderate correlation","Pearson","OID21122",0.39169102884717,88,0.000180554960067135,0.000298895234480638,"Weak correlation","Spearman"
"Dammer et al.","P16278","GLB1","Beta-galactosidase",NA,NA,NA,0.835746810418812,35,4.17828059324216e-10,NA,"Strong correlation","Pearson","OID20949",0.296521739130435,24,0.159157159637296,0.194468001331718,"No correlation","Spearman"
"Dammer et al.","Q9NZ53","PODXL2","Podocalyxin-like protein 2",NA,NA,NA,0.390178889439345,35,0.0204932720319819,NA,"Weak correlation","Pearson","OID21487",0.345172171271363,55,0.00985361634561646,0.0137512149001248,"Weak correlation","Spearman"
"Dammer et al.","Q8IZP9","ADGRG2","Adhesion G-protein coupled receptor G2",NA,NA,NA,-0.067075090401551,35,0.701837109972161,NA,"No correlation","Pearson","OID20189",0.724581401601725,88,1.46585963033632e-15,4.13738880662425e-15,"Strong correlation","Spearman"
"Dammer et al.","P17405","SMPD1","Sphingomyelin phosphodiesterase",NA,NA,NA,0.919023383260395,35,6.80095068510909e-15,NA,"Strong correlation","Pearson","OID21028",0.701425640420632,88,2.72085152746189e-14,7.52902297672666e-14,"Strong correlation","Spearman"
"Dammer et al.","Q99650","OSMR","Oncostatin-M-specific receptor subunit beta",NA,NA,NA,0.0115709864758962,35,0.947401003683147,NA,"No correlation","Pearson","OID20356",0.684178084604276,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P19256","CD58","Lymphocyte function-associated antigen 3",NA,NA,NA,0.32854041179072,35,0.053985422583584,NA,"Weak correlation","Pearson","OID20716",0.522383854038252,88,2.78475573518969e-07,5.70596955540682e-07,"Moderate correlation","Spearman"
"Dammer et al.","P04792","HSPB1","Heat shock protein beta-1",NA,NA,NA,0.38056287961719,35,0.0241150916625724,NA,"Weak correlation","Pearson","OID20230",0.812951287379804,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P36222","CHI3L1","Chitinase-3-like protein 1",NA,NA,NA,0.659481229936544,35,1.64116459136455e-05,NA,"Moderate correlation","Pearson","OID20399",0.902786094184777,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q7Z6M3","MILR1","Allergin-1",NA,NA,NA,0.214897880168441,35,0.215076512027475,NA,"No correlation","Pearson","OID20482",-0.0301158301158301,36,0.861442851504746,0.888190848720418,"No correlation","Spearman"
"Dammer et al.","Q9GZM7","TINAGL1","Tubulointerstitial nephritis antigen-like",NA,NA,NA,0.446210779996957,35,0.00721482153630838,NA,"Weak correlation","Pearson","OID20180",0.269762845849802,23,0.21239117073851,0.252676113555088,"No correlation","Spearman"
"Dammer et al.","Q8NBS9","TXNDC5","Thioredoxin domain-containing protein 5",NA,NA,NA,0.856433727500347,35,5.33177251795721e-11,NA,"Strong correlation","Pearson","OID21012",0.559913352823078,88,2.52728281099109e-08,5.70660458721789e-08,"Moderate correlation","Spearman"
"Dammer et al.","P51580","TPMT","Thiopurine S-methyltransferase",NA,NA,NA,0.723549013205666,35,9.05608277255244e-07,NA,"Strong correlation","Pearson","OID21270",0.0476190476190476,8,0.934871031746032,0.946609322727596,"No correlation","Spearman"
"Dammer et al.","Q15113","PCOLCE","Procollagen C-endopeptidase enhancer 1",NA,NA,NA,0.725941769891168,35,8.00378196304094e-07,NA,"Strong correlation","Pearson","OID20384",0.752562431756543,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P09417","QDPR","Dihydropteridine reductase",NA,NA,NA,0.9385660676371,35,8.26862308319227e-17,NA,"Strong correlation","Pearson","OID20174",0.641722488038277,76,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1",NA,NA,NA,0.87042770584455,35,1.09458351355979e-11,NA,"Strong correlation","Pearson","OID21128",0.908650628720369,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q99523","SORT1","Sortilin",NA,NA,NA,0.425765899598755,35,0.0107709241551514,NA,"Weak correlation","Pearson","OID20213",0.465991790687719,62,0.000160492067489665,0.000267644821559574,"Weak correlation","Spearman"
"Dammer et al.","P19971","TYMP","Thymidine phosphorylase",NA,NA,NA,0.742579722238755,35,3.2684363519605e-07,NA,"Strong correlation","Pearson","OID20234",0.774506005424254,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q14508","WFDC2","WAP four-disulfide core domain protein 2",NA,NA,NA,0.940863699419283,35,4.48521517478025e-17,NA,"Strong correlation","Pearson","OID21505",0.812440562149977,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P08397","HMBS","Porphobilinogen deaminase",NA,NA,NA,0.92658649520417,35,1.42823338170925e-15,NA,"Strong correlation","Pearson","OID21385",0.803247508013103,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9UN19","DAPP1","Dual adapter for phosphotyrosine and 3-phosphotyrosine and 3-phosphoinositide",NA,NA,NA,0.871728542582608,35,9.36104232862044e-12,NA,"Strong correlation","Pearson","OID20524",0.582758620689655,29,0.00111976667170728,0.00172943443550961,"Moderate correlation","Spearman"
"Dammer et al.","Q15126","PMVK","Phosphomevalonate kinase",NA,NA,NA,0.957218917059809,34,8.5125610902021e-19,NA,"Strong correlation","Pearson","OID20850",0.632699083861875,44,6.83036963443694e-06,1.2478134817604e-05,"Moderate correlation","Spearman"
"Dammer et al.","O60760","HPGDS","Hematopoietic prostaglandin D synthase",NA,NA,NA,0.749406035912637,35,2.21902418690803e-07,NA,"Strong correlation","Pearson","OID21266",0.353399541634836,34,0.0409902434338705,0.0541262980547834,"Weak correlation","Spearman"
"Dammer et al.","O95379","TNFAIP8","Tumor necrosis factor alpha-induced protein 8",NA,NA,NA,0.821915512781398,35,1.42178404723616e-09,NA,"Strong correlation","Pearson","OID20433",0.248484848484848,10,0.491555497342584,0.543019722602522,"No correlation","Spearman"
"Dammer et al.","P48643","CCT5","T-complex protein 1 subunit epsilon",NA,NA,NA,0.777677482864768,35,3.87805610538332e-08,NA,"Strong correlation","Pearson","OID21200",0.748250978534684,88,5.35994221084778e-17,1.54371805001203e-16,"Strong correlation","Spearman"
"Dammer et al.","P05107","ITGB2","Integrin beta-2",NA,NA,NA,0.534758010810256,35,0.00093461199840739,NA,"Moderate correlation","Pearson","OID20315",0.683491247226234,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q9Y2V2","CARHSP1","Calcium-regulated heat-stable protein 1",NA,NA,NA,0.749403730038083,34,3.4010050974791e-07,NA,"Strong correlation","Pearson","OID20859",0.445449833395039,74,8.28634595527734e-05,0.000140892840113074,"Weak correlation","Spearman"
"Dammer et al.","P05451","REG1A","Lithostathine-1-alpha",NA,NA,NA,0.968448330413755,35,1.73545741383433e-21,NA,"Strong correlation","Pearson","OID20415",0.881044002041854,88,1.06607363815902e-29,3.35263826596526e-29,"Strong correlation","Spearman"
"Dammer et al.","O95274","LYPD3","Ly6/PLAUR domain-containing protein 3",NA,NA,NA,0.292715882657234,35,0.0879256751416771,NA,"No correlation","Pearson","OID21530",0.461466661970343,88,7.72871697276975e-06,1.40284910968763e-05,"Weak correlation","Spearman"
