"Study","UniProt","Gene.Name","Description","OlinkID_Previous.study","Correlation_Previous.study","N_Previous.study","P.value_Previous.study","Adj.p.value_Previous.study","Cor.interval_Previous.study","Cor.method_Previous.study","OlinkID_Sissala","Correlation_Sissala","N_Sissala","P.value_Sissala","Adj.p.value_Sissala","Cor.interval_Sissala","Cor.method_Sissala"
"Dammer et al.","Q16769","QPCT","Glutaminyl-peptide cyclotransferase",NA,0.232448818,21,0.310599959,NA,"No correlation","Pearson","OID20320",0.585784227396006,88,3.21120928344547e-09,7.76328753963584e-09,"Moderate correlation","Spearman"
"Dammer et al.","P11226","MBL2","Mannose-binding protein C",NA,0.919747161,36,2.28e-15,NA,"Strong correlation","Pearson","OID30759",0.97097218737595,88,3.29761006817605e-55,1.06371479056307e-54,"Strong correlation","Spearman"
"Dammer et al.","Q13867","BLMH","Bleomycin hydrolase",NA,0.775853093,36,2.72e-08,NA,"Strong correlation","Pearson","OID20336",0.695097037793667,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q13093","PLA2G7","Platelet-activating factor acetylhydrolase",NA,0.725192595,36,5.65e-07,NA,"Strong correlation","Pearson","OID21105",0.641045058714744,88,1.72435034628865e-11,4.61325009706134e-11,"Moderate correlation","Spearman"
"Dammer et al.","P04066","FUCA1","Tissue alpha-L-fucosidase",NA,0.806995581,36,2.77e-09,NA,"Strong correlation","Pearson","OID20261",0.92822077517003,88,1.08311666016148e-38,3.47397360602929e-38,"Strong correlation","Spearman"
"Dammer et al.","P07585","DCN","Decorin",NA,-0.092416552,23,0.674925825,NA,"No correlation","Pearson","OID20106",0.284158672543428,57,0.0325294761905437,0.0432576897751754,"No correlation","Spearman"
"Dammer et al.","P55285","CDH6","Cadherin-6",NA,0.277458803,36,0.101349033,NA,"No correlation","Pearson","OID20157",0.743633545841992,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P33151","CDH5","Cadherin-5",NA,0.451351146,36,0.00572665,NA,"Weak correlation","Pearson","OID20243",0.702711270423412,88,2.33058604381026e-14,6.46494261292821e-14,"Strong correlation","Spearman"
"Dammer et al.","Q13231","CHIT1","Chitotriosidase-1",NA,0.769372648,29,1.07e-06,NA,"Strong correlation","Pearson","OID20312",0.916047338945441,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P00352","ALDH1A1","Aldehyde dehydrogenase 1A1",NA,0.698082718,35,3.13e-06,NA,"Moderate correlation","Pearson","OID21128",0.908650628720369,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P05556","ITGB1","Integrin beta-1",NA,0.600135669,36,0.000109287,NA,"Moderate correlation","Pearson","OID20376",0.491002831020006,88,1.19209499180704e-06,2.31648062951832e-06,"Weak correlation","Spearman"
"Dammer et al.","P01833","PIGR","Polymeric immunoglobulin receptor",NA,-0.149397129,29,0.43922933,NA,"No correlation","Pearson","OID21102",0.546810608995809,88,6.10131582838174e-08,1.32724192104874e-07,"Moderate correlation","Spearman"
"Dammer et al.","P15311","EZR","Ezrin",NA,0.328142577,28,0.088236541,NA,"Weak correlation","Pearson","OID21017",0.46484801521609,88,6.52326505888396e-06,1.19557893692857e-05,"Weak correlation","Spearman"
"Dammer et al.","Q9UBX1","CTSF","Cathepsin F",NA,0.497327692,36,0.002029198,NA,"Weak correlation","Pearson","OID21500",0.785935683843472,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P10721","KIT","Mast/stem cell growth factor receptor Kit",NA,0.59603522,36,0.000125183,NA,"Moderate correlation","Pearson","OID20370",0.832781515268924,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P04070","PROC","Vitamin K-dependent protein C",NA,0.702807193,36,1.76e-06,NA,"Strong correlation","Pearson","OID20402",0.649695325983586,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q15166","PON3","Serum paraoxonase/lactonase 3",NA,0.662159604,36,1.09e-05,NA,"Moderate correlation","Pearson","OID20777",0.821228558345955,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P46531","NOTCH1","Neurogenic locus notch homolog protein 1",NA,0.624467091,21,0.002478083,NA,"Moderate correlation","Pearson","OID20311",0.351449402979818,88,0.000843310572938521,0.0013096253601755,"Weak correlation","Spearman"
"Dammer et al.","P04179","SOD2","Superoxide dismutase [Mn], mitochondrial",NA,0.462406102,36,0.004519432,NA,"Weak correlation","Pearson","OID21114",0.714557430171533,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q99983","OMD","Osteomodulin",NA,0.59619298,36,0.000124535,NA,"Moderate correlation","Pearson","OID20725",0.856380543129865,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P20062","TCN2","Transcobalamin-2",NA,0.57201426,36,0.000267636,NA,"Moderate correlation","Pearson","OID20341",0.52897044838153,88,1.87282674332654e-07,3.89396205012092e-07,"Moderate correlation","Spearman"
"Dammer et al.","P27487","DPP4","Dipeptidyl peptidase 4",NA,0.68609452,36,3.86e-06,NA,"Moderate correlation","Pearson","OID20406",0.853668416047339,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q76LX8","ADAMTS13","A disintegrin and metalloproteinase with thrombospondin motifs 13",NA,-0.094943385,36,0.581768868,NA,"No correlation","Pearson","OID20249",0.730199403864831,88,6.8983605612456e-16,1.95684650091615e-15,"Strong correlation","Spearman"
"Dammer et al.","P42785","PRCP","Lysosomal Pro-X carboxypeptidase",NA,0.022501561,36,0.896359949,NA,"No correlation","Pearson","OID20337",0.665404529604452,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","Q8NBP7","PCSK9","Proprotein convertase subtilisin/kexin type 9",NA,0.784867142,36,1.46e-08,NA,"Strong correlation","Pearson","OID20235",0.703583033233516,88,2.09733232315945e-14,5.83223692819464e-14,"Strong correlation","Spearman"
"Dammer et al.","Q9UBR2","CTSZ","Cathepsin Z",NA,0.804646112,36,3.34e-09,NA,"Strong correlation","Pearson","OID20365",0.68542848085661,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P05362","ICAM1","Intercellular adhesion molecule 1",NA,0.691292255,36,3.04e-06,NA,"Moderate correlation","Pearson","OID20411",0.728376635105485,88,8.82763526915294e-16,2.49784466638438e-15,"Strong correlation","Spearman"
"Dammer et al.","Q6EMK4","VASN","Vasorin",NA,0.453948084,36,0.005420593,NA,"Weak correlation","Pearson","OID20345",0.469514987143813,88,5.1480070908229e-06,9.48140294541445e-06,"Weak correlation","Spearman"
"Dammer et al.","P28827","PTPRM","Receptor-type tyrosine-protein phosphatase mu",NA,0.283024173,36,0.094404064,NA,"No correlation","Pearson","OID20598",0.550614631397274,88,4.75265328928522e-08,1.03987317124089e-07,"Moderate correlation","Spearman"
"Dammer et al.","P12830","CDH1","Cadherin-1",NA,0.43766369,36,0.007597508,NA,"Weak correlation","Pearson","OID20353",0.706350604064669,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P53634","CTSC","Dipeptidyl peptidase 1",NA,0.377402195,36,0.023259656,NA,"Weak correlation","Pearson","OID20679",0.305730689302948,88,0.00390696898962268,0.00569157159907613,"Weak correlation","Spearman"
"Dammer et al.","P28799","GRN","Progranulin",NA,0.693016556,36,2.81e-06,NA,"Moderate correlation","Pearson","OID21159",0.481349723503927,88,2.78372075275932e-06,5.30881880044809e-06,"Weak correlation","Spearman"
"Dammer et al.","P30530","AXL","Tyrosine-protein kinase receptor UFO",NA,0.446266787,29,0.015240982,NA,"Weak correlation","Pearson","OID20363",0.545095915506303,88,3.99576203089344e-08,8.88034514346199e-08,"Moderate correlation","Spearman"
"Dammer et al.","P25774","CTSS","Cathepsin S",NA,0.257707628,29,0.177118597,NA,"No correlation","Pearson","OID21056",0.259043358810891,88,0.0150246272013435,0.0206109405957677,"No correlation","Spearman"
"Dammer et al.","Q8IUK5","PLXDC1","Plexin domain-containing protein 1",NA,0.412579048,14,0.142632757,NA,"Weak correlation","Pearson","OID21258",0.332094677890881,88,0.00165824893724589,0.00252313079535122,"Weak correlation","Spearman"
"Dammer et al.","P14151","SELL","L-selectin",NA,0.771245975,36,3.7e-08,NA,"Strong correlation","Pearson","OID30752",0.717745060054243,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9H1U4","MEGF9","Multiple epidermal growth factor-like domains protein 9",NA,0.693011279,29,3.09e-05,NA,"Moderate correlation","Pearson","OID20285",0.479432211938939,88,2.29133403867643e-06,4.37718465256461e-06,"Weak correlation","Spearman"
"Dammer et al.","Q9Y5Y7","LYVE1","Lymphatic vessel endothelial hyaluronic acid receptor 1",NA,0.711222335,36,1.16e-06,NA,"Strong correlation","Pearson","OID30728",0.759501250396253,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q06830","PRDX1","Peroxiredoxin-1",NA,0.85778356,36,2.34e-11,NA,"Strong correlation","Pearson","OID20962",0.475590856257265,88,3.7643411107095e-06,7.09506029046916e-06,"Weak correlation","Spearman"
"Dammer et al.","Q03167","TGFBR3","Transforming growth factor beta receptor type 3",NA,0.165735505,28,0.399308036,NA,"No correlation","Pearson","OID20255",0.613991291221879,88,1.99930969123053e-10,5.21298069607221e-10,"Moderate correlation","Spearman"
"Dammer et al.","O75509","TNFRSF21","Tumor necrosis factor receptor superfamily member 21",NA,0.583107498,21,0.005530021,NA,"Moderate correlation","Pearson","OID21052",0.576190476190476,35,0.000372349224390225,0.000597983320535652,"Moderate correlation","Spearman"
"Dammer et al.","Q99972","MYOC","Myocilin",NA,0.28448329,36,0.09264499,NA,"No correlation","Pearson","OID21121",0.557828879883184,88,1.64186987923897e-08,3.75237063494088e-08,"Moderate correlation","Spearman"
"Dammer et al.","Q99969","RARRES2","Retinoic acid receptor responder protein 2",NA,0.690100767,36,3.21e-06,NA,"Moderate correlation","Pearson","OID20373",0.43300693881864,88,3.0213944262416e-05,5.3050611309903e-05,"Weak correlation","Spearman"
"Dammer et al.","Q15485","FCN2","Ficolin-2",NA,0.823328714,36,7.05e-10,NA,"Strong correlation","Pearson","OID20382",0.596685569370575,88,8.58976760324772e-10,2.17440529687594e-09,"Moderate correlation","Spearman"
"Dammer et al.","Q9Y279","VSIG4","V-set and immunoglobulin domain-containing protein 4",NA,0.578327431,15,0.023919924,NA,"Moderate correlation","Pearson","OID21144",0.87504843084076,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P15086","CPB1","Carboxypeptidase B",NA,0.730294649,14,0.003017753,NA,"Strong correlation","Pearson","OID20289",0.819925328449157,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P11215","ITGAM","Integrin alpha-M",NA,0.279572139,15,0.312901448,NA,"No correlation","Pearson","OID21071",0.602102924842651,74,2.8019883834226e-08,6.30168303761777e-08,"Moderate correlation","Spearman"
"Dammer et al.","P01033","TIMP1","Metalloproteinase inhibitor 1",NA,0.440775061,36,0.007131706,NA,"Weak correlation","Pearson","OID20418",0.790708323060125,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q13308","PTK7","Inactive tyrosine-protein kinase 7",NA,0.56221914,29,0.001502196,NA,"Moderate correlation","Pearson","OID20880",0.203620865767321,88,0.0572004100908932,0.073636559854753,"No correlation","Spearman"
"Dammer et al.","P28838","LAP3","Cytosol aminopeptidase",NA,0.539077892,29,0.002548976,NA,"Moderate correlation","Pearson","OID20436",0.556373498643937,88,3.22673915640938e-08,7.22815180076625e-08,"Moderate correlation","Spearman"
"Dammer et al.","P09619","PDGFRB","Platelet-derived growth factor receptor beta",NA,0.426685095,36,0.009454939,NA,"Weak correlation","Pearson","OID20268",0.834106028793742,88,6.16653387645622e-24,1.90219036790138e-23,"Strong correlation","Spearman"
"Dammer et al.","P30041","PRDX6","Peroxiredoxin-6",NA,0.795534851,36,6.72e-09,NA,"Strong correlation","Pearson","OID21404",0.532404635271741,88,1.5176718597147e-07,3.19673792839159e-07,"Moderate correlation","Spearman"
"Dammer et al.","P05107","ITGB2","Integrin beta-2",NA,0.298081312,36,0.077436632,NA,"No correlation","Pearson","OID20315",0.683491247226234,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P03950","ANG","Angiogenin",NA,0.575757306,36,0.000238672,NA,"Moderate correlation","Pearson","OID20403",0.281885104434504,88,0.00798142128707684,0.0112637807913872,"No correlation","Spearman"
"Dammer et al.","P35590","TIE1","Tyrosine-protein kinase receptor Tie-1",NA,0.469252474,36,0.003887869,NA,"Weak correlation","Pearson","OID20303",0.523293135563592,88,1.68632861749744e-07,3.51915898180151e-07,"Moderate correlation","Spearman"
"Dammer et al.","P09382","LGALS1","Galectin-1",NA,0.644329717,29,0.000161809,NA,"Moderate correlation","Pearson","OID20154",0.416575675390088,88,6.31474522499426e-05,0.00010851365843255,"Weak correlation","Spearman"
"Dammer et al.","Q12884","FAP","Prolyl endopeptidase FAP",NA,0.316428277,36,0.06008067,NA,"Weak correlation","Pearson","OID20330",0.793467971671121,88,3.05018237961979e-20,9.20763611387898e-20,"Strong correlation","Spearman"
"Dammer et al.","P08709","F7","Coagulation factor VII",NA,0.733126834,36,3.68e-07,NA,"Strong correlation","Pearson","OID20372",0.726445000176112,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","O43278","SPINT1","Kunitz-type protease inhibitor 1",NA,0.28429839,15,0.304443847,NA,"No correlation","Pearson","OID21109",0.846817653481737,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q15828","CST6","Cystatin-M",NA,0.568511856,29,0.001292327,NA,"Moderate correlation","Pearson","OID20293",0.896710225071326,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P01591","JCHAIN","Immunoglobulin J chain",NA,0.718316183,36,8.1e-07,NA,"Strong correlation","Pearson","OID20494",0.517382269028918,88,3.74323606837098e-07,7.6146189571006e-07,"Moderate correlation","Spearman"
"Dammer et al.","P08581","MET","Hepatocyte growth factor receptor",NA,0.360444987,36,0.030809482,NA,"Weak correlation","Pearson","OID20269",0.536334297556788,88,7.21463861118698e-08,1.56040746973757e-07,"Moderate correlation","Spearman"
"Dammer et al.","Q9Y5C1","ANGPTL3","Angiopoietin-related protein 3",NA,0.712341926,36,1.1e-06,NA,"Strong correlation","Pearson","OID20407",0.795921242647318,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q16853","AOC3","Membrane primary amine oxidase",NA,0.497427929,36,0.002024293,NA,"Weak correlation","Pearson","OID20389",0.784931844598641,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P07451","CA3","Carbonic anhydrase 3",NA,0.73968742,36,2.55e-07,NA,"Strong correlation","Pearson","OID20271",0.871719911239478,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q10588","BST1","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2",NA,0.672623916,36,7e-06,NA,"Moderate correlation","Pearson","OID21051",0.851572681483569,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q9NPY3","CD93","Complement component C1q receptor",NA,0.529328565,36,0.000901637,NA,"Moderate correlation","Pearson","OID20397",0.779155366137156,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","Q16775","HAGH","Hydroxyacylglutathione hydrolase, mitochondrial",NA,0.321903283,20,0.166336871,NA,"Weak correlation","Pearson","OID21459",0.515751728848288,52,0.000114252955579447,0.000192524756491337,"Moderate correlation","Spearman"
"Dammer et al.","P31948","STIP1","Stress-induced-phosphoprotein 1",NA,0.823221797,36,7.12e-10,NA,"Strong correlation","Pearson","OID21077",0.890141241942869,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P80188","LCN2","Neutrophil gelatinase-associated lipocalin",NA,0.416292821,36,0.011556278,NA,"Weak correlation","Pearson","OID20392",0.816485930786729,88,3.19010887747979e-22,9.7341430342559e-22,"Strong correlation","Spearman"
"Dammer et al.","P25786","PSMA1","Proteasome subunit alpha type-1",NA,-0.275214488,36,0.104257099,NA,"No correlation","Pearson","OID21221",-0.162216899721743,88,0.130890384611471,0.162212123190286,"No correlation","Spearman"
"Dammer et al.","P05089","ARG1","Arginase-1",NA,-0.026334907,22,0.907390103,NA,"No correlation","Pearson","OID21445",0.440579761191927,88,2.12520149166011e-05,3.74898825638166e-05,"Weak correlation","Spearman"
"Dammer et al.","Q9H4A9","DPEP2","Dipeptidase 2",NA,0.584479902,35,0.000227051,NA,"Moderate correlation","Pearson","OID21305",0.447696663104719,88,1.22276867111255e-05,2.18434466722479e-05,"Weak correlation","Spearman"
"Dammer et al.","P23526","AHCY","Adenosylhomocysteinase",NA,0.474008336,21,0.029946328,NA,"Weak correlation","Pearson","OID20199",0.297559085625727,88,0.00502247027233738,0.00723261344064912,"No correlation","Spearman"
"Dammer et al.","P15291","B4GALT1","Beta-1,4-galactosyltransferase 1",NA,0.254297606,36,0.13448016,NA,"No correlation","Pearson","OID20780",0.612148215983939,88,0,0,"Moderate correlation","Spearman"
"Dammer et al.","P02144","MB","Myoglobin",NA,0.611405219,36,7.45e-05,NA,"Moderate correlation","Pearson","OID20263",0.89544221760417,88,0,0,"Strong correlation","Spearman"
"Dammer et al.","P30048","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial",NA,0.569149515,21,0.007086079,NA,"Moderate correlation","Pearson","OID20483",-0.180041628122109,47,0.225147479985256,0.267007883301842,"No correlation","Spearman"
"Dammer et al.","Q9BS26","ERP44","Endoplasmic reticulum resident protein 44",NA,0.55633546,36,0.000426151,NA,"Moderate correlation","Pearson","OID21338",0.383027997555743,88,0.00023027095056923,0.000377871952314914,"Weak correlation","Spearman"
"Dammer et al.","P52888","THOP1","Thimet oligopeptidase",NA,0.490113993,13,0.089081581,NA,"Weak correlation","Pearson","OID20194",0.198831019726542,66,0.109417794461169,0.137106204158335,"No correlation","Spearman"
"Dammer et al.","Q6PCB0","VWA1","von Willebrand factor A domain-containing protein 1",NA,-0.250178024,14,0.388332059,NA,"No correlation","Pearson","OID21421",0.191176470588235,17,0.460882076288092,0.513658306149314,"No correlation","Spearman"
"Dammer et al.","P30044","PRDX5","Peroxiredoxin-5, mitochondrial",NA,0.828066858,36,4.62e-10,NA,"Strong correlation","Pearson","OID20644",0.795621851995351,88,0,0,"Strong correlation","Spearman"
